epoch,train_accuracy,train_loss,train_eval_loss,val_accuracy,val_loss,test_accuracy,test_loss
0,47.912962962962965,2.1793700066787935,2.071322547315986,47.38333333333333,2.072461038827896,47.38333333333333,2.072461038827896
1,64.28703703703704,1.9721264302448074,1.8717655954767742,64.01666666666667,1.8733933418989182,64.01666666666667,1.8733933418989182
2,70.56481481481481,1.772516218406894,1.672769138598329,69.63333333333334,1.67471677561601,69.63333333333334,1.67471677561601
3,74.09814814814816,1.5778497107221052,1.484303709455011,73.68333333333334,1.486286386847496,73.68333333333334,1.486286386847496
4,76.73703703703704,1.3992623328032652,1.3173018914263395,76.26666666666667,1.319159631927808,76.26666666666667,1.319159631927808
5,78.6037037037037,1.2451863814304225,1.1763682472762338,78.21666666666667,1.1780939151843388,78.21666666666667,1.1780939151843388
6,79.86481481481482,1.117076234794906,1.060864821994474,79.41666666666667,1.0623389035463333,79.41666666666667,1.0623389035463333
7,80.9,1.0125916266893324,0.9668517268099491,80.66666666666667,0.9681160300970078,80.66666666666667,0.9681160300970078
8,81.97777777777777,0.9278629343091594,0.8906816419266976,82.0,0.8914754043022791,82.0,0.8914754043022791
9,82.55740740740741,0.8589198270115243,0.8285827128243107,82.48333333333333,0.8292025004824003,82.48333333333333,0.8292025004824003
10,83.20185185185186,0.8023751242465883,0.7771903974185058,83.03333333333333,0.7774187177419662,83.03333333333333,0.7774187177419662
11,83.71111111111111,0.7554065409994803,0.7342680237869516,83.73333333333333,0.7340205113093058,83.73333333333333,0.7340205113093058
12,84.13148148148149,0.7158629046797187,0.6980514232581261,84.21666666666667,0.6976226791739464,84.21666666666667,0.6976226791739464
13,84.62037037037037,0.6824167384920528,0.6671268228106024,84.75,0.6663382723927498,84.75,0.6663382723927498
14,84.95185185185186,0.6537129353572972,0.6404189665170642,84.96666666666667,0.6395403742790222,84.96666666666667,0.6395403742790222
15,85.23518518518519,0.6287691042321553,0.6171966471943245,85.26666666666667,0.6159362892309824,85.26666666666667,0.6159362892309824
16,85.48518518518519,0.6069450999888198,0.5968482048025628,85.41666666666667,0.5956383943557739,85.41666666666667,0.5956383943557739
17,85.80740740740741,0.5876978829291195,0.5786351077082033,85.83333333333333,0.5770444845159849,85.83333333333333,0.5770444845159849
18,86.00555555555556,0.5706624181067209,0.5624685002164254,86.08333333333333,0.5607094864050547,86.08333333333333,0.5607094864050547
19,86.21296296296296,0.5553352135052613,0.548023813991185,86.18333333333334,0.5460209933420023,86.18333333333334,0.5460209933420023
20,86.41481481481482,0.5415442557696483,0.5348961747370625,86.51666666666667,0.53289116670688,86.51666666666667,0.53289116670688
21,86.65185185185184,0.5290498482107551,0.5230421909788774,86.75,0.5209158894916376,86.75,0.5209158894916376
22,86.82962962962964,0.5177730581771706,0.5122432646593211,86.96666666666667,0.5096244104206562,86.96666666666667,0.5096244104206562
23,86.95370370370371,0.5074055122820686,0.5023060018699881,87.1,0.4999046288430691,87.1,0.4999046288430691
24,87.11296296296297,0.49786992688879583,0.4931274937792412,87.35,0.4904133689900239,87.35,0.4904133689900239
25,87.27962962962962,0.48910110228434556,0.484788811178569,87.66666666666667,0.4819069703420003,87.66666666666667,0.4819069703420003
26,87.4037037037037,0.48103028860702335,0.4770027849629027,87.8,0.47408124928673107,87.8,0.47408124928673107
27,87.59074074074074,0.47357063214360823,0.4697297387778476,88.01666666666667,0.4667603162427743,88.01666666666667,0.4667603162427743
28,87.8,0.4665317283987434,0.4631804384608969,88.06666666666666,0.460058497885863,88.06666666666666,0.460058497885863
29,87.83333333333333,0.4600811565374311,0.4566959371498976,88.13333333333334,0.4532435139020284,88.13333333333334,0.4532435139020284
30,88.00185185185185,0.4539753318680406,0.45088800929168954,88.26666666666667,0.44740528240799904,88.26666666666667,0.44740528240799904
31,88.05555555555556,0.44828353998785336,0.445325992824907,88.21666666666667,0.44187455375989276,88.21666666666667,0.44187455375989276
32,88.10555555555555,0.4429077400132943,0.4401742315970326,88.41666666666667,0.43656910086671513,88.41666666666667,0.43656910086671513
33,88.21851851851852,0.43783505960098373,0.43523366671602876,88.48333333333333,0.43148940180738765,88.48333333333333,0.43148940180738765
34,88.3462962962963,0.4331290240253882,0.43063473136504116,88.6,0.42677119622627896,88.6,0.42677119622627896
35,88.38333333333334,0.42861707868734245,0.4263162930712316,88.61666666666666,0.42242896805206936,88.61666666666666,0.42242896805206936
36,88.53518518518518,0.4243738353252411,0.42217508170277024,88.78333333333333,0.4184787857035796,88.78333333333333,0.4184787857035796
37,88.52592592592593,0.42030898471014194,0.4183064317816242,88.78333333333333,0.4140510944028695,88.78333333333333,0.4140510944028695
38,88.65,0.4165879880647524,0.414469408480477,88.91666666666667,0.4104856339593728,88.91666666666667,0.4104856339593728
39,88.68703703703704,0.4128496635581645,0.41093914952323335,88.93333333333334,0.40691744163632393,88.93333333333334,0.40691744163632393
40,88.78148148148148,0.40939902482439555,0.4075854029418168,89.1,0.4036272466182709,89.1,0.4036272466182709
41,88.80925925925926,0.4061685753942101,0.4043050932375741,89.06666666666666,0.40026872729261714,89.06666666666666,0.40026872729261714
42,88.88333333333334,0.4029451410917309,0.40133799351222144,89.16666666666667,0.3968326884011428,89.16666666666667,0.3968326884011428
43,88.95370370370371,0.39995632338297876,0.3982691454096428,89.2,0.3940542936325073,89.2,0.3940542936325073
